DTE,MB_TEMP,WD_HR,WIND_DIREC,WIND_SPEED,RINFLL,PM2.5
2017/1/100:00,21,118,114,3.8,0,15
2017/1/101:00,21,120,119,3.6,0,11
2017/1/102:00,21,112,104,3.8,0,15
2017/1/103:00,21,115,116,3.2,0,8
2017/1/104:00,21,109,107,2.8,0,14
2017/1/105:00,21,105,109,2.9,0,5
2017/1/106:00,21,110,117,3.1,0,11
2017/1/107:00,21,104,99,2.2,0,7
2017/1/108:00,23,112,110,2,0,9
2017/1/109:00,24,114,117,4.9,0,9
2017/1/110:00,24,112,115,3.7,0,9
2017/1/111:00,25,113,114,3.4,0,10
2017/1/112:00,26,127,123,3.3,0,7
2017/1/113:00,26,127,124,3.2,0,8
2017/1/114:00,26,120,126,3.4,0,12
2017/1/115:00,25,142,129,3.5,0,8
2017/1/116:00,25,125,105,2.8,0,9
2017/1/117:00,23,110,106,2.5,0,9
2017/1/118:00,23,102,111,2.3,0,12
2017/1/119:00,23,94,82,1.9,0,10
2017/1/120:00,23,80,88,1.6,0,8
2017/1/121:00,23,83,75,1.3,0,5
2017/1/122:00,23,64,41,1.1,0,7
2017/1/123:00,22,82,123,1.2,0,6
2017/1/200:00,21,138,115,1.2,0,6
2017/1/201:00,20,123,128,1.3,0,4
2017/1/202:00,19,116,92,1.3,0,7
2017/1/203:00,19,38,319,0.4,0,6
2017/1/204:00,18,252,341,0.7,0,9
2017/1/205:00,18,68,101,1.2,0,14
2017/1/206:00,19,85,184,0.6,0,23
2017/1/207:00,19,147,187,1.4,0,22
2017/1/208:00,20,206,208,1.5,0,19
2017/1/209:00,21,200,211,1.1,0,19
2017/1/210:00,23,203,226,1.2,0,26
2017/1/211:00,24,242,296,1.9,0,26
2017/1/212:00,24,311,305,3.6,0,22
2017/1/213:00,24,303,302,2.9,0,16
2017/1/214:00,25,305,293,1.5,0,20
2017/1/215:00,25,261,226,1.4,0,22
2017/1/216:00,24,233,267,1.8,0,20
2017/1/217:00,22,265,272,0.5,0,19
2017/1/218:00,22,223,214,0.6,0,23
2017/1/219:00,21,154,149,1.2,0,22
2017/1/220:00,22,117,109,2.5,0,20
2017/1/221:00,22,116,119,2.4,0,12
2017/1/222:00,22,111,111,1.8,0,10
2017/1/223:00,22,115,111,2.4,0,7
2017/1/300:00,22,116,122,2.7,0,6
2017/1/301:00,22,118,125,2,0,10
2017/1/302:00,22,123,122,2.6,0,9
2017/1/303:00,22,133,126,2,0,9
2017/1/304:00,22,127,142,1.9,0,6
2017/1/305:00,21,163,169,1.1,0,5
2017/1/306:00,21,260,218,1.1,0,8
2017/1/307:00,21,202,53,2.1,0,5
