DATE,AMB_TEMP,WD_HR,WIND_DIREC,WIND_SPEED,RAINFALL,PM2.5
2018/1/1 0:00,16.4,18x                            ,36x                            ,3.2,0,16
2018/1/1 1:00,16.5,7x                             ,1x                             ,2.9,0,19
2018/1/1 2:00,16.6,0x                             ,0x                             ,3.2,0,14
2018/1/1 3:00,16.7,360x                           ,360x                           ,2.8,0,17
2018/1/1 4:00,16.8,0x                             ,360x                           ,3.3,0,12
2018/1/1 5:00,16.9,360x                           ,360x                           ,3.2,0,15
2018/1/1 6:00,16.9,0x                             ,360x                           ,3.2,0,25
2018/1/1 7:00,17.3,360x                           ,360x                           ,3.4,0,21
2018/1/1 8:00,17.9,0x                             ,360x                           ,3.3,0,21
2018/1/1 9:00,18.8,0x                             ,0x                             ,3.8,0,21
2018/1/1 10:00,19.9,360x                           ,360x                           ,5.1,0,23
2018/1/1 11:00,20.2,0x                             ,360x                           ,4,0,25
2018/1/1 12:00,20.8,0x                             ,360x                           ,4.2,0,18
2018/1/1 13:00,20,360x                           ,360x                           ,3.5,0,25
2018/1/1 14:00,19.8,360x                           ,360x                           ,3.9,0,20
2018/1/1 15:00,19.2,360x                           ,360x                           ,3.6,0,22
2018/1/1 16:00,18.5,360x                           ,360x                           ,4,0,22
2018/1/1 17:00,18.2,360x                           ,360x                           ,4,0,26
2018/1/1 18:00,18,360x                           ,360x                           ,3,0,32
2018/1/1 19:00,18.3,360x                           ,360x                           ,2.9,0,33
2018/1/1 20:00,18.6,0x                             ,360x                           ,3.4,0,28
2018/1/1 21:00,19,360x                           ,360x                           ,3.8,0,19
2018/1/1 22:00,19.2,360x                           ,360x                           ,3.3,0,10
2018/1/1 23:00,19.3,360x                           ,360x                           ,3,0,16
2018/1/2 0:00,19.1,360x                           ,360x                           ,3.4,0,18
2018/1/2 1:00,18.8,360x                           ,360x                           ,3.3,0,14
2018/1/2 2:00,19.1,360x                           ,360x                           ,3.4,0,12
2018/1/2 3:00,19.2,360x                           ,360x                           ,4.2,0,9
2018/1/2 4:00,19.1,360x                           ,360x                           ,3.2,0,12
2018/1/2 5:00,19,360x                           ,360x                           ,3.4,0,10
2018/1/2 6:00,19.1,360x                           ,360x                           ,2.9,0,9
2018/1/2 7:00,19.6,360x                           ,360x                           ,3.5,0,8
2018/1/2 8:00,20.7,360x                           ,360x                           ,3.5,0,11
2018/1/2 9:00,21.7,360x                           ,360x                           ,2.8,0,9
2018/1/2 10:00,22.8,360x                           ,360x                           ,4.2,0,11
2018/1/2 11:00,23.8,360x                           ,360x                           ,4.6,0,12
2018/1/2 12:00,24.3,360x                           ,360x                           ,4.3,0,14
2018/1/2 13:00,24.2,360x                           ,360x                           ,4,0,13
2018/1/2 14:00,24,360x                           ,360x                           ,3.6,0#                             ,NA                             
2018/1/2 15:00,23.7,360x                           ,360x                           ,2.7,0,5
2018/1/2 16:00,22.9,360x                           ,360x                           ,2.2,0,3
2018/1/2 17:00,21.5,360x                           ,360x                           ,2.8,0,4
2018/1/2 18:00,21.3,360x                           ,360x                           ,3,0,8
2018/1/2 19:00,21.2,360x                           ,360x                           ,2.3,0,4
2018/1/2 20:00,21.3,360x                           ,360x                           ,2.7,0,10
2018/1/2 21:00,21.4,360x                           ,360x                           ,4,0,8
2018/1/2 22:00,21.4,360x                           ,360x                           ,2.9,0,17
2018/1/2 23:00,21.3,360x                           ,360x                           ,2.2,0,9
2018/1/3 0:00,21.2,360x                           ,360x                           ,2.3,0,14
2018/1/3 1:00,21.2,360x                           ,360x                           ,3.4,0,5
2018/1/3 2:00,21.1,360x                           ,360x                           ,2.1,0,9
2018/1/3 3:00,21,360x                           ,360x                           ,3.5,0,6
2018/1/3 4:00,20.9,360x                           ,360x                           ,2.3,0,14
2018/1/3 5:00,20.8,360x                           ,360x                           ,1.6,0,12
2018/1/3 6:00,20.8,360x                           ,360x                           ,1.7,0,9
2018/1/3 7:00,21.3,360x                           ,360x                           ,2.3,0,5
2018/1/3 8:00,22.7,360x                           ,360x                           ,2.3,0,4
2018/1/3 9:00,23.7,360x                           ,360x                           ,2.7,0,7
2018/1/3 10:00,24.6,0x                             ,360x                           ,2.6,0,12
2018/1/3 11:00,25.3,87x                            ,95x                            ,3.7,0,9
2018/1/3 12:00,25.3,109x                           ,115x                           ,4.2,0,11
2018/1/3 13:00,25,94,93,3.6,0,8
2018/1/3 14:00,24.1,90,88,3.6,0,7
2018/1/3 15:00,23.3,91,94,4.4,0,7
2018/1/3 16:00,22.6,93,95,4.5,0,9
2018/1/3 17:00,22.1,95,99,3.3,0,12
2018/1/3 18:00,22,95,92,3.4,0,10
2018/1/3 19:00,22.1,92,95,4.1,0,5
2018/1/3 20:00,22,98,96,3.8,0,6
2018/1/3 21:00,21.9,94,94,4,0,5
2018/1/3 22:00,21.8,96,97,3.6,0,7
2018/1/3 23:00,21.7,93,91,3.6,0,9
2018/1/4 0:00,21.6,90,93,2.7,0,7
2018/1/4 1:00,21.7,92,94,3.3,0,9
2018/1/4 2:00,21.6,85,85,2.2,0,5
2018/1/4 3:00,21.6,93,86,2.1,0,9
2018/1/4 4:00,21.4,89,91,2.2,0,5
2018/1/4 5:00,21.7,97,96,2.1,0,8
2018/1/4 6:00,21.5,84,72,1.4,0,2
2018/1/4 7:00,22,99,102,2.5,0,4
2018/1/4 8:00,23,104,108,2.5,0,5
2018/1/4 9:00,23.6,206,213,2.2,0,7
