DATE,AMB_TEMP,WD_HR,WIND_DIREC,WIND_SPEED,RAINFALL,PM2.5
2020/01/01 0:00,16.2                           ,104                            ,97                             ,2.2                            ,0                              ,10                             
2020/01/01 1:00,16.4                           ,115                            ,126                            ,2.9                            ,0                              ,7                              
2020/01/01 2:00,16.7                           ,105                            ,92                             ,2.2                            ,0                              ,3                              
2020/01/01 3:00,16.7                           ,102                            ,99                             ,2.2                            ,0                              ,1                              
2020/01/01 4:00,16.6                           ,97                             ,100                            ,2.7                            ,0                              ,4                              
2020/01/01 5:00,16.7                           ,97                             ,99                             ,2.4                            ,0                              ,4                              
2020/01/01 6:00,16.6                           ,96                             ,91                             ,3.3                            ,0                              ,1                              
2020/01/01 7:00,16.7                           ,99                             ,98                             ,3.1                            ,0                              ,3                              
2020/01/01 8:00,17.5                           ,98                             ,101                            ,3                              ,0                              ,2                              
2020/01/01 9:00,18                             ,94                             ,91                             ,2.9                            ,0                              ,1                              
2020/01/01 10:00,18.2                           ,93                             ,92                             ,2.5                            ,0                              ,2                              
2020/01/01 11:00,18.7                           ,77                             ,78                             ,2.8                            ,0                              ,1                              
2020/01/01 12:00,18.7                           ,56                             ,44                             ,3.3                            ,0                              ,1                              
2020/01/01 13:00,19                             ,46                             ,42                             ,4.4                            ,0                              ,1                              
2020/01/01 14:00,18.6                           ,64                             ,85                             ,2.4                            ,0                              ,1                              
2020/01/01 15:00,18.9                           ,90                             ,97                             ,2.9                            ,0                              ,2                              
2020/01/01 16:00,18.4                           ,98                             ,101                            ,3.8                            ,0                              ,1                              
2020/01/01 17:00,17.5                           ,97                             ,102                            ,3.5                            ,0                              ,1                              
2020/01/01 18:00,17.7                           ,96                             ,97                             ,3.1                            ,0                              ,2                              
2020/01/01 19:00,17.9                           ,94                             ,92                             ,2.9                            ,0                              ,5                              
2020/01/01 20:00,18.1                           ,95                             ,95                             ,3.2                            ,0                              ,4                              
2020/01/01 21:00,18.3                           ,97                             ,91                             ,2.5                            ,0                              ,4                              
2020/01/01 22:00,18.5                           ,95                             ,95                             ,3.1                            ,0                              ,3                              
2020/01/01 23:00,18.6                           ,93                             ,88                             ,1.9                            ,0                              ,3                              
2020/01/02 0:00,18.8                           ,77                             ,56                             ,2.2                            ,0                              ,2                              
2020/01/02 1:00,18.8                           ,96                             ,103                            ,2.2                            ,0                              ,3                              
2020/01/02 2:00,18.6                           ,104                            ,100                            ,3.2                            ,0                              ,3                              
2020/01/02 3:00,18.8                           ,95                             ,96                             ,2.2                            ,0                              ,1                              
2020/01/02 4:00,18.9                           ,97                             ,105                            ,2.1                            ,0                              ,1                              
2020/01/02 5:00,18.9                           ,101                            ,98                             ,2.7                            ,0                              ,2                              
2020/01/02 6:00,19                             ,94                             ,100                            ,3.1                            ,0                              ,6                              
2020/01/02 7:00,19.4                           ,90                             ,93                             ,3.1                            ,0                              ,5                              
2020/01/02 8:00,20.8                           ,94                             ,97                             ,2.8                            ,0                              ,4                              
2020/01/02 9:00,22.5                           ,85                             ,86                             ,2.5                            ,0                              ,6                              
2020/01/02 10:00,23.7                           ,69                             ,56                             ,2.4                            ,#                              ,#                              
2020/01/02 11:00,24.3                           ,76                             ,#                              ,#                              ,0                              ,#                              
2020/01/02 12:00,24.8                           ,66                             ,67                             ,2.7                            ,0                              ,A                              
2020/01/02 13:00,25                             ,82                             ,72                             ,2.6                            ,0                              ,5                              
2020/01/02 14:00,25                             ,91                             ,93                             ,2.1                            ,0                              ,7                              
2020/01/02 15:00,24.3                           ,88                             ,70                             ,2.4                            ,0                              ,#                              
2020/01/02 16:00,22.4                           ,91                             ,87                             ,2.4                            ,0                              ,9                              
2020/01/02 17:00,21.2                           ,89                             ,94                             ,2.4                            ,0                              ,9                              
2020/01/02 18:00,20.6                           ,91                             ,96                             ,2.4                            ,0                              ,7                              
2020/01/02 19:00,20.5                           ,63                             ,51                             ,2.7                            ,0                              ,6                              
2020/01/02 20:00,20.6                           ,59                             ,58                             ,2.6                            ,0                              ,4                              
2020/01/02 21:00,20.5                           ,70                             ,59                             ,1.7                            ,0                              ,3                              
2020/01/02 22:00,20.3                           ,68                             ,70                             ,1.7                            ,0                              ,5                              
2020/01/02 23:00,20.3                           ,57                             ,67                             ,2.2                            ,0                              ,7                              
2020/01/03 0:00,20.4                           ,78                             ,80                             ,1.3                            ,0                              ,5                              
2020/01/03 1:00,20.4                           ,64                             ,77                             ,1.9                            ,0                              ,9                              
2020/01/03 2:00,20.5                           ,61                             ,56                             ,2.4                            ,0                              ,6                              
2020/01/03 3:00,20.5                           ,57                             ,59                             ,2                              ,0                              ,4                              
2020/01/03 4:00,20.5                           ,83                             ,89                             ,1.6                            ,0                              ,4                              
2020/01/03 5:00,20.5                           ,87                             ,83                             ,2.2                            ,0                              ,3                              
2020/01/03 6:00,20.4                           ,75                             ,69                             ,1.4                            ,0                              ,5                              
2020/01/03 7:00,21.1                           ,89                             ,98                             ,1.6                            ,0                              ,6                              
2020/01/03 8:00,22.9                           ,94                             ,93                             ,2.7                            ,0                              ,6                              
2020/01/03 9:00,23.7                           ,93                             ,92                             ,2.6                            ,0                              ,6                              
2020/01/03 10:00,24.7                           ,92                             ,100                            ,3.1                            ,0                              ,4                              
2020/01/03 11:00,24.9                           ,#                              ,84                             ,2.3                            ,0                              ,6                              
2020/01/03 12:00,25.9                           ,76                             ,76                             ,2.1                            ,0                              ,3                              
2020/01/03 13:00,26.1                           ,89                             ,90                             ,2.6                            ,0                              ,4                              
2020/01/03 14:00,26.4                           ,95                             ,108                            ,2.2                            ,0                              ,6                              
2020/01/03 15:00,25.4                           ,121                            ,124                            ,4.1                            ,0                              ,5                              
2020/01/03 16:00,24.2                           ,123                            ,108                            ,1.8                            ,0                              ,3                              
2020/01/03 17:00,22.9                           ,91                             ,89                             ,1.2                            ,0                              ,11                             
2020/01/03 18:00,22                             ,92                             ,101                            ,1.7                            ,0                              ,7                              
2020/01/03 19:00,21.4                           ,108                            ,88                             ,1.8                            ,0                              ,10                             
2020/01/03 20:00,21.3                           ,99                             ,93                             ,2.1                            ,0                              ,8                              
2020/01/03 21:00,21.3                           ,73                             ,63                             ,2.3                            ,0                              ,9                              
2020/01/03 22:00,21.4                           ,77                             ,86                             ,1.3                            ,0                              ,6                              
2020/01/03 23:00,21.3                           ,86                             ,86                             ,1.2                            ,0                              ,5                              
2020/01/04 0:00,21.2                           ,76                             ,76                             ,1.1                            ,0                              ,7                              
2020/01/04 1:00,21.3                           ,69                             ,59                             ,1                              ,0                              ,7                              
2020/01/04 2:00,20.9                           ,66                             ,54                             ,1.1                            ,0                              ,7                              
2020/01/04 3:00,19.7                           ,108                            ,101                            ,1.9                            ,0                              ,6                              
2020/01/04 4:00,19.1                           ,113                            ,218                            ,0.7                            ,0                              ,5                              
2020/01/04 5:00,18.1                           ,188                            ,221                            ,0.5                            ,0                              ,7                              
2020/01/04 6:00,17.6                           ,306                            ,316                            ,0.7                            ,0                              ,16                             
2020/01/04 7:00,17.8                           ,202                            ,115                            ,0.5                            ,0                              ,18                             
2020/01/04 8:00,19.7                           ,297                            ,298                            ,0.9                            ,0                              ,12                             
2020/01/04 9:00,21.5                           ,261                            ,190                            ,0.8                            ,0                              ,17                             
2020/01/04 10:00,24.5                           ,133                            ,110                            ,2.6                            ,0                              ,15                             
2020/01/04 11:00,26.3                           ,102                            ,112                            ,2.8                            ,0                              ,5                              
2020/01/04 12:00,26.8                           ,106                            ,103                            ,3.3                            ,0                              ,5                              
2020/01/04 13:00,26.9                           ,107                            ,101                            ,3                              ,0                              ,4                              
2020/01/04 14:00,26.9                           ,98                             ,113                            ,3.2                            ,0                              ,5                              
2020/01/04 15:00,26.2                           ,66                             ,50                             ,2.9                            ,0                              ,8                              
2020/01/04 16:00,24.2                           ,54                             ,58                             ,2.5                            ,0                              ,11                             
2020/01/04 17:00,22.8                           ,61                             ,77                             ,2.2                            ,0                              ,9                              
2020/01/04 18:00,22.3                           ,86                             ,91                             ,2.2                            ,0                              ,8                              
2020/01/04 19:00,22.2                           ,87                             ,89                             ,2.1                            ,0                              ,7                              
